State,Facility,Authorizing_Agent,Known_Capacity,Population_Prior_to_Releases,Overall_Pop_Reduction_or_Total_Number_of_Releases,releases_only_or_mix,Has_detailed_breakdown,Parole_Tech_Violation ,Lower_Level_NonViolent_Crimes,Short_Time_Left_on_Sentence,Vulnerable_Populations,Other,Date,Legal_Filing,Source,Permalinks,Additional_Notes,
Iowa,Statewide,Parole Board,6933,8519,"1,000",Mix,Yes - See columns I-M,,,,,x,5/13/20,No,http://www.kmaland.com/news/hundreds-of-iowa-prisoners-getting-early-parole-due-to-covid-19-concerns/article_e508b620-83fd-11ea-b6d6-738156a1cd88.html?eType=EmailBlastContent&eId=07a90610-fdf3-4e1b-994a-712a02c5065c,perma.cc/BP7G-8BNB,482 approved for early release.  The remaining portion represents overall population decrease from March 31 to May 13. ,
Kentucky,Statewide,Governor,,12240,"1,000",Releases only,Yes - See columns I-M,,x,x,x,,4/2/20,No,https://www.fox19.com/2020/04/02/watch-live-gov-beshear-provides-update-covid-kentucky/,perma.cc/7X9J-Q3HE,"Commutations via executive order for nonviolent, non-sex offenders (4/2).  (Number released from prisons disputed in source below)",
Kentucky,Statewide,Governor,, ,200,Releases only,No,,,,,x,7/19/20,,https://www.wkdzradio.com/2020/07/18/beshear-says-another-round-of-prisoner-releases-could-occur-due-to-covid-19/,https://perma.cc/AAK5-EJUM,"article describes 1200 reduction.  Just counted 200, becuase of 1000 above.", 
Kentucky,Statewide,Governor,,,646,Releases only,Yes - See columns I-M,,,x,x,,8/26/20,,https://www.msn.com/en-us/news/crime/646-more-kentucky-inmates-released-from-prison-to-prevent-covid-19-spread/ar-BB18mRaO,https://perma.cc/W5FD-JU9E,626 releases last week via commutation.  121 had medical vulnerabilities. 525 people had less than 6 months on sentence. ,
Louisiana,Statewide,Governor,,32000,63,Releases only,Yes - See columns I-M,,x,x,x,,6/30/20,No,"https://www.theadvocate.com/baton_rouge/news/coronavirus/article_39acdb9a-ba3e-11ea-ac28-df318eb8fe9b.html; 
program described: https://www.theadvocate.com/baton_rouge/news/coronavirus/article_62e9f822-7e79-11ea-bfb3-933881495eb6.html",https://perma.cc/TG3R-V564,"Medical furlough. 1100 identified, 600 screened, 67 released. (Older article describes criteria)",
MA,State and County Prisons (all),court order ,,,"1,158",Releases only,No,,,,,,5/11/20,,https://cambridge.wickedlocal.com/news/20200512/coalition-presses-baker-to-reduce-covid-19-risks-in-prisons/1,https://perma.cc/Z7YG-6CBE,"""As of Monday, 1,158 inmates had been released from state and county correctional facilities to comply with the order,""",
Maine,Statewide,,,2240,157,Mix,No,,,,,,4/14/20,,https://www.wmtw.com/article/maine-prisons-and-jails-increase-safety-precautions-decrease-population-during-coronavirus-outbreak/32147891,perma.cc/M8H9-HGK7,"Prison census down 7%  (Numbers for census prior to release taken from article in October, 2019 (https://www.mainepublic.org/post/maine-sees-decline-state-prison-population)",
Maryland,Baltimore City,Prosecutor,,,60,Releases only,Yes - See columns I-M,,x,,,,4/3/20,,https://www.wbal.com/article/444619/3/dozens-released-from-baltimore-jails-prisons?utm_source=The+Marshall+Project+Newsletter&utm_campaign=093f6d2f3b-EMAIL_CAMPAIGN_2020_04_07_11_34&utm_medium=email&utm_term=0_5e02cdad9d-093f6d2f3b-166145513,perma.cc/M5Y4-9GP6,"60 released from ""prisons and jails"" in Baltimore City",
Maryland,Statewide,Gov,,"19,050",650,Mix,No,,,,,,4/19/20,,https://www.baltimoresun.com/coronavirus/bs-md-pol-hogan-prisoners-20200419-7mzvooaoxfbyngowb2xdeucrme-story.html?utm_source=The+Marshall+Project+Newsletter&utm_campaign=f1efaf562f-EMAIL_CAMPAIGN_2020_04_20_11_35&utm_medium=email&utm_term=0_5e02cdad9d-f1efaf562f-166145513,perma.cc/5MBB-NBP5,Population reduced by 650 since March (as of April 19),
Massachusetts,Statewide,SJC,,7697,390,Mix,,x,x,,x,x,5/21/20,,"https://data.aclum.org/sjc-12926-tracker/
https://www.mass.gov/doc/sjc-12926-special-masters-weekly-report-4132020/download",perma.cc/NY2B-3MPR; perma.cc/F4M7-C32F,ACLU data suggests only 15 releases due to COVID 19 as of 4/27/20 (https://data.aclum.org/sjc-12926-tracker/). The second link was checked on 5/22 and the numbers updated accordingly.,
