Name,Street,City,State,ZIP,ACTState,
BUENA VISTA MINIMUM CENTER,15125 HWY 24 & 285,BUENA VISTA,COLORADO,81211,COLORADO,
Buffalo Halfway House,115 Glenwood Ave,Buffalo,NEW YORK,14209,NEW YORK,
BULLOCH COUNTY PRISON,17301 US HIGHWAY 301 NORTH,STATESBORO,GEORGIA,30458,GEORGIA,
BULLOCK CORRECTIONAL FACILITY,"104 Bullock Dr., Hwy 82 E",Union Springs,ALABAMA,36089,ALABAMA,
Bullock Mental Health Facility,"104 Bullock Dr., Hwy 82 E",Union Springs,ALABAMA,36089,ALABAMA,
BUNCOMBE CORRECTIONAL CENTER,2995 RIVERSIDE DRIVE,"ASHEVILLE,",NORTH CAROLINA,28804,NORTH CAROLINA,
BURLINGTON RESIDENTIAL FACILITY,835 VALLEY ROAD,BURLINGTON,IOWA,52601,IOWA,
BURRUSS CORRECTIONAL TRAINING CENTER,1000 INDIAN SPRINGS DRIVE,FORSYTH,GEORGIA,31029,GEORGIA,
BUSTER COLE STATE JAIL,3801 Silo Road,Bonham,TEXAS,75418,TEXAS,
BUTLER CORRECTIONAL FACILITY,14001 WESTBURY CUTOFF RD.,RED CREEK,NEW YORK,13143,NEW YORK,
BUTNER CAMP,OLD NC HWY 75,Butner,FEDERAL,27509,NORTH CAROLINA,
BUTNER FMC,OLD N. CAROLINA HWY 75,BUTNER,FEDERAL,27509,NORTH CAROLINA,
BUTNER LOW FCI,OLD NC HWY 75,BUTNER,FEDERAL,27509,NORTH CAROLINA,
BUTNER MED I FCI,OLD NC HWY 75,BUTNER,FEDERAL,27509,NORTH CAROLINA,
BUTNER MED II FCI,OLD NC HWY 75,BUTNER,FEDERAL,27509,NORTH CAROLINA,
BUTTE PRE-RELEASE CENTER INC.,471 EAST MERCURY,BUTTE,MONTANA,59701,MONTANA,
C. PAUL PHELPS CORRECTIONAL CENTER,14925 HIGHWAY 27,DEQUINCY,LOUISIANA,70633,LOUISIANA,
"C.H., INCORPORATED",1310 South 17th Street,Council Bluffs,IOWA,51501,IOWA,
CADDO TWP,501 TEXAS ST. ROOM 101,SHREVEPORT,LOUISIANA,71101,LOUISIANA,
CALDWELL CORRECTIONAL CENTER,480 PLEASANT HILL ROAD,LENOIR,NORTH CAROLINA,28645,NORTH CAROLINA,
CALDWELL PARISH DETENTION CENTER LCS,701 HWY. 845,GREYSON,LOUISIANA,71435,LOUISIANA,
CALEDONIA COMMUNITY WORK CAMP,1266 US ROUTE 5,ST. JOHNSBURY,VERMONT,5819,VERMONT,
CALEDONIA CORRECTIONAL INSTITUTION,2787 CALEDONIA DRIVE,TILLERY,NORTH CAROLINA,27887,NORTH CAROLINA,
CALHOUN CORRECTIONAL INST,19562 SE INSTITUTION DRIVE,BLOUNTSTOWN,FLORIDA,32424,FLORIDA,
CALHOUN STATE PRISON,27823 MAIN STREET,MORGAN,GEORGIA,39866,GEORGIA,
CALHOUN WORK CAMP,PO BOX 2000 SOUTH,BLOUNTSTOWN,FLORIDA,32424,FLORIDA,
CALIFORNIA CORRECTIONAL CENTER,711-045 CENTER ROAD,SUSANVILLE,CALIFORNIA,96130,CALIFORNIA,
CALIFORNIA CORRECTIONAL INSTITUTION,24900 HWY 202,TEHACHAPI,CALIFORNIA,93561,CALIFORNIA,
CALIFORNIA INSTITUTION FOR MEN,14901 CENTRAL AVENUE,CHINO,CALIFORNIA,91710,CALIFORNIA,
CALIFORNIA INSTITUTION FOR WOMEN,16756 CHINO-CORONA ROAD,CORONA,CALIFORNIA,92880,CALIFORNIA,
CALIFORNIA MEDICAL FACILITY,1600 CALIFORNIA DRIVE,VACAVILLE,CALIFORNIA,95696,CALIFORNIA,
CALIFORNIA MENS COLONY,HIGHWAY 1,SAN LUIS OBISPO,CALIFORNIA,93409,CALIFORNIA,
CALIFORNIA REHABILITATION CENTER,5TH STREET & WESTERN,NORCO,CALIFORNIA,29860,CALIFORNIA,
"CALIFORNIA STATE PRISON, SACRAMENTO",300 PRISON ROAD,REPRESA,CALIFORNIA,95671,CALIFORNIA,
"CALIFORNIA STATE PRISON, SOLANO",2100 PEABODY ROAD,VACAVILLE,CALIFORNIA,95687,CALIFORNIA,
CALIFORNIA SUBSTANCE ATF - CORCORAN,900 QUEBEC AVENUE,CORCORAN,CALIFORNIA,93212,CALIFORNIA,
CALIPATRIA STATE PRISON,7018 BLAIR ROAD,CALIPATRIA,CALIFORNIA,92233,CALIFORNIA,
CALUMET TRANSITIONAL HOUSING UNIT,126 LOWELL STREET,MANCHESTER,NEW HAMPSHIRE,3104,NEW HAMPSHIRE,
CAMDEN COMMUNITY Based Facility,1780 AL Hwy 221,Camden,ALABAMA,36726,ALABAMA,
CAMPBELL PRE-RELEASE CENTER,4530 BROAD RIVER ROAD,COLUMBIA,SOUTH CAROLINA,29210,SOUTH CAROLINA,
CANAAN USP,3057 EASTON TURNPIKE,WAYMART,FEDERAL,18472,PENNSYLVANIA,
CANAAN-CAMP,3057 EASTON TURNPIKE,WAYMART,FEDERAL,18472,PENNSYLVANIA,
CAPE VINCENT CORRECTIONAL FACILITY,36560 STATE ROUTE 12E,CAPE VINCENT,NEW YORK,13618,NEW YORK,
Capitol Pavilion Community Correction Center,2012 North Forth Street,Harrisburg,PENNSYLVANIA,17102,PENNSYLVANIA,
CARLIN CONSERVATION CAMP,124 SUZIE CREEK ROAD,CARLIN,NEVADA,89822,NEVADA,
CARLTON COLWELL PROBATION DENTENTION CENTER,189 BEASLEY STREET,BLAIRSVILLE,GEORGIA,30512,GEORGIA,
CAROL S. VANCE UNIT,2 JESTER ROAD,Richmond,TEXAS,77406,TEXAS,
CAROLE S. YOUNG MEDICAL FACILITY,5509 Attwater Ave,Dickinson,TEXAS,77539,TEXAS,
CAROLINE CORRECTIONAL CENTER,31285 CAMP ROAD,HANOVER,VIRGINIA,23069,VIRGINIA,
CARROLL COUNTY PRISON,96 HORSLEY MILL ROAD,CARROLLTON,GEORGIA,30117,GEORGIA,
CARROLL/MONTGOMERY REGIONAL CORR FACILITY,33714 HIGHWAY 35,VAIDEN,MISSISSIPPI,39176,MISSISSIPPI,
CARSON CITY CORRECTIONAL FACILITY,10274 BOYER ROAD,CARSON CITY,MICHIGAN,48811,MICHIGAN,
CARSWELL FMC,NAVAL AIR STATION - J ST BLDG 3000 ROOM 1G015,FORT WORTH,FEDERAL,76127,TEXAS,
CARSWELL-CAMP,NAVAL AIR STATION - J ST BLDG 3000 ROOM 1G015,FORT WORTH,FEDERAL,76127,TEXAS,
CARTER COUNTY COMMUNITY WORK CENTER,5268 SANT FE ROAD,WILSON,OKLAHOMA,73463,OKLAHOMA,
CARTERET CORRECTIONAL CENTER,1084 ORANGE STREET,NEWPORT,NORTH CAROLINA,28570,NORTH CAROLINA,
CARVER TRANSITIONAL CENTER,400 S. May Avenue,Oklahoma City,OKLAHOMA,73108,OKLAHOMA,
CASA GRANDE TRANSITIONAL HOUSING,3955 W RUSSELL ROAD,LAS VEGAS,NEVADA,89118,NEVADA,
CASCADE COUNTY REGIONAL ADULT DETENTION CENTER,3800 ULM NORTH FRONTAGE ROAD,GREAT FALLS,MONTANA,59405,MONTANA,
CASPER RE-ENTRY CENTER,10007 LANDMARK LANE,CASPER,WYOMING,82604,WYOMING,
CASWELL CORRECTIONAL CENTER,444 COUNTY HOME RD,BLANCH,NORTH CAROLINA,27212,NORTH CAROLINA,
CATAHOULA CORRECTIONAL CENTER - LASALLE,499 OLD COLUMBIA ROAD,HARRISONBURG,LOUISIANA,71340,LOUISIANA,
CATALYST BEHAVIORAL SERVICES CAMEO,415 NW 8TH STREET,OKLAHOMA,OKLAHOMA,73102,OKLAHOMA,
CATALYST BEHAVIORAL SERVICES IVANHOE,415 NW 8TH STREET,OKLAHOMA CITY,OKLAHOMA,73102,OKLAHOMA,
CATALYST ENID HALFWAY HOUSE,1824 SOUTH VAN BURDEN STREET,ENID,OKLAHOMA,73703,OKLAHOMA,
CATAWBA CORRECTIONAL CENTER,1347 PRISON CAMP ROAD,NEWTON,NORTH CAROLINA,28658,NORTH CAROLINA,
CATAWBA PRE-RELEASE CENTER,1030 MILLING ROAD,ROCK HILL,SOUTH CAROLINA,29730,SOUTH CAROLINA,
CATHOLIC SOCIAL SERVICES,409 OLIVE STREET,SCRANTON,PENNSYLVANIA,18509,PENNSYLVANIA,
CAVALCORP COMM SANCTION CENTER,312 TRYON ROAD,RALEIGH,NORTH CAROLINA,27603,NORTH CAROLINA,
CAYUGA CORRECTIONAL FACILITY,2202 STATE ROUTE 38A,MORAVIA,NEW YORK,13118,NEW YORK,
CCC Alston Wilkes Society - Columbia,1218 BULL STREET,COLUMBIA,SOUTH CAROLINA,29601,SOUTH CAROLINA,
CCC Alston Wilkes Society - Florence,441 W CHEVES STREET,FLORENCE,SOUTH CAROLINA,29501,SOUTH CAROLINA,
CCC Alston Wilkes Society - North Charleston,3290 A Meeting Street,N. Charleston,SOUTH CAROLINA,29405,SOUTH CAROLINA,
CCC Dismas Charities,709 E. 49th St,Lubbock,TEXAS,79404,TEXAS,
CEDAR CREEK CORRECTIONAL CENTER,12200 BORDEAUX RD,Littlerock,WASHINGTON,98556,WASHINGTON,
CENTENNIAL COMMUNITY TRANSITION CENTER,14485 EAST FREMONT AVENUE,ENGLEWOOD,COLORADO,80112,COLORADO,
CENTENNIAL CORRECTIONAL FACILITY,E US HIGHWAY 50 & EVANS BOULEVARD,CANON CITY,COLORADO,81215,COLORADO,
CENTER FOR COMMUNITY TRANSITIONS-WOMEN,904 PECAN AVENUE,CHARLOTTE,NORTH CAROLINA,28205,NORTH CAROLINA,
"CENTER POINT, INC. OKC",5245 S I-35 SERVICE RD.,OKLAHOMA CITY,OKLAHOMA,73129,OKLAHOMA,
"CENTER POINT, INC. OSAGE COUNTY",1755 W 53RD ST. N,TULSA,OKLAHOMA,74126,OKLAHOMA,
"CENTER POINT, INC. TULSA",3637 N. LEWIS,TULSA,OKLAHOMA,74110,OKLAHOMA,
"CENTEX ALCOHOL REHABILITATION CENTER, INC.",2500 S. General Bruce Drive,Temple,TEXAS,76504,TEXAS,
CENTINELA STATE PRIOSN,2302 BROWN ROAD,IMPERIAL,CALIFORNIA,92251,CALIFORNIA,
CENTRAL ARKANSAS COMMUNITY CORRECTION CENTER,4823 West 7th St,Little Rock,ARKANSAS,72205,ARKANSAS,
CENTRAL AVENUE HOUSE,24 CENTRAL AVENUE,WATERBURY,CONNECTICUT,6702,CONNECTICUT,
CENTRAL CALIFORNIA WOMEN'S FACILITY,23370 ROAD 22,CHOWCHILLA,CALIFORNIA,93610,CALIFORNIA,
CENTRAL FLORIDA RECEPTION CENTER EAST,7000 H.C. KELLEY RD.,ORLANDO,FLORIDA,32831,FLORIDA,
CENTRAL FLORIDA RECEPTION CENTER MAIN,7000 H C KELLEY ROAD,ORLANDO,FLORIDA,32831,FLORIDA,
CENTRAL FLORIDA RECEPTION CENTER SOUTH,7000 H.C. KELLEY RD.,ORLANDO,FLORIDA,32831,FLORIDA,
CENTRAL MAINE PRE RELEASE CENTER,87 WINTHROP STREET,HALLOWELL,MAINE,4347,MAINE,
CENTRAL MD CORRECTIONAL FACILITY,7301 BUTTERCUP ROAD,SYKESVILLE,MARYLAND,21784,MARYLAND,
"Central Medical Unit, 5th Floor Security Unit, St. Francis Medical Center",601 HAMILTON AVENUE,TRENTON,NEW JERSEY,8629,NEW JERSEY,
CENTRAL MICHIGAN CORRECTIONAL FACILITY,320 NORTH HUBBARD,ST. LOUIS,MICHIGAN,48880,MICHIGAN,
CENTRAL MISSISSIPPI CORRECTIONAL FACILITY,3794 HIGHWAY 468,PEARL,MISSISSIPPI,39208,MISSISSIPPI,
CENTRAL NEW MEXICO CORRECTIONAL FACILITY,3201 HIGHWAY 314 S.W.,LOS LUNAS,NEW MEXICO,87031,NEW MEXICO,
CENTRAL NEW MEXICO CORRECTIONAL FACILITY LEVEL I,3201 Highway 314 SW,Los Lunas,NEW MEXICO,87031,NEW MEXICO,
CENTRAL NEW MEXICO CORRECTIONAL FACILITY LEVEL II,1525 MORRIS ROAD,LOS LUNAS,NEW MEXICO,87031,NEW MEXICO,
CENTRAL PRISON,1300 WESTERN BLVD,RALEIGH,NORTH CAROLINA,27606,NORTH CAROLINA,
CENTRAL RECEPTION & ASSIGNMENT FACILITY,STUYVESANT AVENUE,West Trenton,NEW JERSEY,8628,NEW JERSEY,
CENTRAL STATE PRISON,4600 FULTON MILL ROAD,MACON,GEORGIA,31208,GEORGIA,
CENTRAL VIOLATION OF PROBATION CENTER,875 Smyrna Landing Road,Smyrna,DELAWARE,19977,DELAWARE,
CENTRAL VIRGINA CORRECTIONAL UNIT #13,6900 Courthouse Road,Chestfield,VIRGINIA,23832,VIRGINIA,
CENTRALIA CORRECTIONAL CENTER,9330 SHATTUC ROAD,CENTRALIA,ILLINOIS,62801,ILLINOIS,
CENTRE FARGO,123 15TH STREET NORTH,FARGO,NORTH DAKOTA,58102,NORTH DAKOTA,
CENTRE INC. GRAND FORKS,201 S. 4th Street,Grand Forks,NORTH DAKOTA,58201,NORTH DAKOTA,
CENTRE INC. MANDAN,100 6th Ave SE,Mandan,NORTH DAKOTA,58554,NORTH DAKOTA,
CENTURY CORRECTIONAL INSTITUTION,400 TEDDER ROAD,CENTURY,FLORIDA,32535,FLORIDA,
CENTURY WORK CAMP,400 TEDDER ROAD,CENTURY,FLORIDA,32535,FLORIDA,
CHAIN O'LAKES CORRECTIONAL FACILITY,3516 E 75 S,ALBION,INDIANA,46701,INDIANA,
CHAMBERLAIN CREEK CONSERVATION CAMP,15800 HWY 20,FORT BRAGG,CALIFORNIA,95437,CALIFORNIA,
CHARLES B. BASS CORRECTIONAL COMPLEX,7177 COCKRILL BEND BLVD,NASHVILLE,TENNESSEE,37243,TENNESSEE,
CHARLES BILL JOHNSON CORRECTIONAL CENTER,1856 E FLYNN ST,ALVA,OKLAHOMA,73717,OKLAHOMA,
CHARLES EGELER RECEPTION & GUIDANCE CENTER,3855 COOPER STREET,JACKSON,MICHIGAN,49201,MICHIGAN,
CHARLES T. TERRELL UNIT,1300 FM 655,Rosharon,TEXAS,77583,TEXAS,
CHARLESTON CORRECTIONAL FACILITY,"RTE 15, 1202 DOVER ROAD",CHARLESTON,MAINE,4422,MAINE,
CHARLESTON WORK RELEASE CENTER,607 BROOKS STREET,CHARLESTON,WEST VIRGINIA,25301,WEST VIRGINIA,
CHARLOTTE CORRECTIONAL  INSTITUTION,33123 OIL WELL ROAD,PUNTA GODA,FLORIDA,33955,FLORIDA,
CHASE CENTER,21 CLIFF STREET,WATERBURY,CONNECTICUT,6710,CONNECTICUT,
CHATEAUGAY CORRECTIONAL TREATMENT FACILITY,7874 STATE ROUTE 11,CHATEAUGAY,NEW YORK,12920,NEW YORK,
CHENEY HOUSE,155 WETHERSFIELD AVENUE,HARTFORD,CONNECTICUT,6114,CONNECTICUT,
CHESAPEAKE DETENTION FACILITY,401 E. MADISON STREET,BALTIMORE,MARYLAND,21202,MARYLAND,
CHESHIRE CORRECTIONAL CENTER,900 HIGHLAND AVENUE,CHESHIRE,CONNECTICUT,6410,CONNECTICUT,
CHESTERFIELD WOMEN'S DETENTION CENTER,7000 Courthouse Road,Chesterfield,VIRGINIA,23832,VIRGINIA,
CHESTERFIELD WOMEN'S DIVERSON CENTER,7000 Courthouse Road,Chesterfield,VIRGINIA,23832,VIRGINIA,
"CHEYENNE CENTER, INC.",10525 Eastex Freeway,Houston,TEXAS,77093,TEXAS,
CHEYENNE MOUNTAIN RE-ENTRY CENTER,2925 EAST LAS VEGAS STREET,COLORADO SPRINGS,COLORADO,80906,COLORADO,
Cheyenne Transition Center,322 West 17th Street,Cheyenne,WYOMING,82717,WYOMING,
CHICKASAW REGIONAL CORRECTIONAL FACILITY,120 LANCASTER CIRCLE,HOUSTON,MISSISSIPPI,38851,MISSISSIPPI,
CHILDERSBURG COMMUNITY Based Facility,13501 Plant Road,Childersburg,ALABAMA,35044,ALABAMA,
CHILLICOTHE CORRECTIONAL CENTER,3151 Litton Road,Chillicothe,MISSOURI,64601,MISSOURI,
CHILLICOTHE CORRECTIONAL INSTITUTION,15802 STATE ROUTE 104 N,CHILLICOTHE,OHIO,45601,OHIO,
CHIPPEWA CORRECTIONAL FACILITY,4269 WEST M-80,KINCHELOE,MICHIGAN,49784,MICHIGAN,
CHIPPEWA VALLEY CORRECTIONAL TREATMENT FAC,2909 E PARK AVENUE,CHIPPEWA FALLS,WISCONSIN,54729,WISCONSIN,
CHITTENDEN REGIONAL CORRECTIONAL FACILITY,7 FARRELL STREET,SOUTH BURLINGTON,VERMONT,5403,VERMONT,
CHOICE MOORE TRANSFER FACILITY,1700 N FM 87,Bonham,TEXAS,75418,TEXAS,
CHRISTINA MELTON CRAIN UNIT,1401 State School Road,Gatesville,TEXAS,76599,TEXAS,
CHUCKAWALLA VALLEY STATE PRISON,19025 WILEY'S WELL RD,BLYTHE,CALIFORNIA,92225,CALIFORNIA,
Cibola County CI,2000 CIBOLA LOOP,MILAN,NEW MEXICO,87021,NEW MEXICO,
CIMARRON CORRECTIONAL FACILITY - CCA,3200 S KINGS HWY,CUSHING,OKLAHOMA,74023,OKLAHOMA,
CINC MEN (ST. MARTIN DEPORRES),1101 CANVASBACK STREET,LAKE CHARLES,LOUISIANA,70615,LOUISIANA,
CINC WOMEN (CEDARWOOD),1101 CANVASBACK STREET,LAKE CHARLES,LOUISIANA,70615,LOUISIANA,
City of Faith Monroe - Federal,1408 Jackson Street,Monroe,LOUISIANA,71202,LOUISIANA,
CITY OF FAITH MONROE - STATE (TWP),1814 JACKSON STREET,MONROE,LOUISIANA,71202,LOUISIANA,
City of Faith Residential Re-entry Center,1401 S Garfield Drive,Little Rock,ARKANSAS,72204,ARKANSAS,
CLAIBORNE PARISH DETENTION CENTER - LASALLE,1415 HWY 520,HOMER,LOUISIANA,71040,LOUISIANA,
CLALLAM BAY CORRECTIONAL CENTER,1830 EAGLE CREST WAY,Clallam Bay,WASHINGTON,98326,WASHINGTON,
CLARA WATERS COMMUNITY CORRECTIONS,9901 N I-35 SERVICE ROAD,OKLAHOMA  CITY,OKLAHOMA,73131,OKLAHOMA,
CLARENCE N. STEVENSON UNIT,1525 FM 766,Cuero,TEXAS,77002,TEXAS,
CLARINDA CORRECTIONAL FACILITY,2000 N. 16TH STREET,CLARINDA,IOWA,51632,IOWA,
CLARINDA CORRECTIONAL FACILITY LODGE,2000 N. 16th,Clarinda,IOWA,51632,IOWA,
CLARK COUNTY WORK RELEASE,5197 NW Lowwer River Road,Vancouver,WASHINGTON,98660,WASHINGTON,
CLAYTON COUNTY CORRECTIONAL INSTITUTION,11420 S.L.R. BOULEVARD,LOVEJOY,GEORGIA,30250,GEORGIA,
CLAYTON TRANSITIONAL CENTER,242 FALCON DRIVE,FOREST PARK,GEORGIA,30297,GEORGIA,
CLAYTON WORK CAMP,207 W. MORGAN STREET,CLAYTON,ILLINOIS,62324,ILLINOIS,
CLEMENS UNIT,11034 S HWY 36,Brazoria,TEXAS,77422,TEXAS,
CLEVELAND CORRECTIONAL CENTER,901 EAST 5TH STREET,Cleveland,TEXAS,77327,TEXAS,
CLINTON CORRECTIONAL FACILTY,1156 RT. 374,DANNEMORA,NEW YORK,12929,NEW YORK,
CLINTON HOUSE (NJAC),21 N CLINTON AVENUE,Trenton,NEW JERSEY,8609,NEW JERSEY,
"CLOVER HOUSE, INC.",700 North Dixie,Odessa,TEXAS,79761,TEXAS,
"CLOVER HOUSE, INC.",823 Idlewood,Odessa,TEXAS,79761,TEXAS,
"CLOVER HOUSE, INC.",300 North Jackson,Odessa,TEXAS,79761,TEXAS,
CLYDE M. JOHNSTON SUBSTANCE ABUSE FELONY PUNISHMENT FACILITY,703 AIRPORT ROAD,Winnsboro,TEXAS,77406,TEXAS,
CMI COLUMBINE FACILITY,4280 COLUMBINE ST,DENVER,COLORADO,80216,COLORADO,
CMI DAHLIA,4511 EAST 46TH AVENUE,DENVER,COLORADO,80216,COLORADO,
CMI FOX FACILITY,570 WEST 44TH AVENUE,DENVER,COLORADO,80216,COLORADO,
CMI ULSTER,3955 ULSTER STREET,DENVER,COLORADO,80216,COLORADO,
COASTAL PRE-RELEASE CENTER,3765 LEEDS AVENUE,CHARLESTON,SOUTH CAROLINA,29405,SOUTH CAROLINA,
COASTAL STATE PRISON,200 GULFSTREAM ROAD,GARDEN CITY,GEORGIA,31418,GEORGIA,
COASTAL TRANSITIONAL CENTER,309 STILES AVENUE,SAVANNAH,GEORGIA,31405,GEORGIA,
COCHEGAN HOUSE,976 NORWICH-NEW LONDON TURNPIKE,UNCASVILLE,CONNECTICUT,6382,CONNECTICUT,
COCOA WORK RELEASE CENTER,585 CAMP ROAD,COCOA,FLORIDA,32927,FLORIDA,
COFFEE CORRECTIONAL FACILITY,1153 NORTH LIBERTY STREET,NICHOLLS,GEORGIA,31554,GEORGIA,
COFFEE CREEK CORRECTIONAL FACILITY,24499 SW GRAHAMS FERRY ROAD,WILSONVILLE,OREGON,97070,OREGON,
COFFEE CREEK CORRECTIONAL MINIMUM,24499 SW GRAHAMS FERRY ROAD,WILSONVILLE,OREGON,97070,OREGON,
COFFEE CREEK INTATE CENTER,24499 SW GRAHAMS FERRY ROAD,WILSONVILLE,OREGON,97070,OREGON,
COFFEEWOOD CORRECTIONAL CENTER,12352 COFFEEWOOD DRIVE,MITCHELLS,VIRGINIA,22729,VIRGINIA,
COLD SPRINGS CORRECTIONAL UNIT,221 SPITLER CIRCLE,GREENVILLE,VIRGINIA,24440,VIRGINIA,
COLD SPRINGS WORK CENTER,192 Spitler Circle,Greenville,VIRGINIA,24440,VIRGINIA,
Coleman I USP,846 NE 54TH TERRACE,COLEMAN,FEDERAL,33521,FLORIDA,
Coleman II USP,846 NE 54TH TERRACE,COLEMAN,FEDERAL,33521,FLORIDA,
Coleman Low FCI,846 NE 54TH TERRACE,COLEMAN,FEDERAL,33521,FLORIDA,
Coleman Med FCI,846 NE 54TH TERRACE,COLEMAN,FEDERAL,33521,FLORIDA,
Coleman Med FCI - Camp,846 NE 54TH TERRACE,COLEMAN,FEDERAL,33521,FLORIDA,
COLLINS CORRECTIONAL FACILITY,MIDDLE ROAD,COLLINS,NEW YORK,14034,NEW YORK,
COLORADO CORRECTIONAL CENTER,15445 SOUTH GOLDEN ROAD,GOLDEN,COLORADO,80401,COLORADO,
COLORADO STATE PENITENTIARY,E US HIGHWAY 50 & EVANS BOULEVARD,CANON CITY,COLORADO,81215,COLORADO,
COLORADO TERRITORIAL CORRECTIONAL FACILITY,275 WEST US HIGHWAY 50,CANON CITY,COLORADO,81215,COLORADO,
COLQUITT COUNTY PRISON,2000 COUNTY FARM ROAD,MOULTRIE,GEORGIA,31768,GEORGIA,
COLUMBIA ANNEX,216 SE CORRECTIONS WAY,LAKE CITY,FLORIDA,32025,FLORIDA,
COLUMBIA CO. RE-ENTRY (294),721 IRON ST,BLOOMSBURG,PENNSYLVANIA,17815,PENNSYLVANIA,
COLUMBIA CORRECTIONAL INSTITUTION,216 SE CORRECTIONS WAY,LAKE CITY,FLORIDA,32025,FLORIDA,
COLUMBIA CORRECTIONAL INSTITUTION,2925 COLUMBIA DRIVE,PORTAGE,WISCONSIN,53901,WISCONSIN,
COLUMBIA RIVER CORRECTIONAL INSTITUTION,9111 NE SUNDERLAND AVENUE,PORTLAND,OREGON,97211,OREGON,
COLUMBUS CORRECTIONAL CENTER,1255 PRISON CAMP ROAD,WHITEVILLE,NORTH CAROLINA,28472,NORTH CAROLINA,
COLUMBUS TRANSITIONAL CENTER,3900 SCHATULGA ROAD,COLUMBUS,GEORGIA,31908,GEORGIA,
"COMCOR, INC.",3615 ROBERTS ROAD,COLORADO SPRINGS,COLORADO,80907,COLORADO,
Community Alternatives of Black Hills,5025 Highway 79 South,Rapid City,SOUTH DAKOTA,57709,SOUTH DAKOTA,
COMMUNITY ALTERNATIVES OF EL PASO COUNTY,2945 EAST LAS VEGAS STREET,COLORADO SPRINGS,COLORADO,80906,COLORADO,
Community Alternatives Program - Cherry Street Health SVCS,"801 College, SE",Grand Rapids,MICHIGAN,49507,MICHIGAN,
COMMUNITY ASSESSMENT & TREATMENT SERVICES,8415 BROADWAY AVE,CLEVELAND,OHIO,44127,OHIO,
COMMUNITY CORRECTIONAL CENTER - LINCOLN,2720 W VAN DORN SRTEET,LINCOLN,NEBRASKA,68522,NEBRASKA,
"Community Correctional Service, Inc (CCSI)",1901 N. Hudson,Pueblo,COLORADO,81001,COLORADO,
COMMUNITY CORRECTIONS CENTER - OMAHA,2320 Avenue J,Omaha,NEBRASKA,68110,NEBRASKA,
COMMUNITY EDUCATION CENTERS,10007 LAND MARK LANE,CASPER,WYOMING,82604,WYOMING,
COMMUNITY PARTNERS IN ACTION - MEN'S WORK RELEASE,121 WASHINGTON STREET,HARTFORD,CONNECTICUT,6106,CONNECTICUT,
Community Resources for Justice- Brooke House,107 Park Drive,Borston,MASSACHUSETTS,2215,MASSACHUSETTS,
COMMUNITY TRANSITIONS CENTER,151 E HUBERT AVENUE,LANCASTER,OHIO,43130,OHIO,
COMMUNITY TREATMENT & CORRECTION CENTER,1432 TUSCARAWAS STREET EAST,CANTON,OHIO,44707,OHIO,
Community Treatment Center- East,11105 East Jefferson Ave,Detroit,MICHIGAN,48214,MICHIGAN,
CONCORAN STATE PRISON,4001 KING AVENUE,CORCORAN,CALIFORNIA,93212,CALIFORNIA,
CONNECTION HOUSE,167 LIBERTY STREET,MIDDLETOWN,CONNECTICUT,6457,CONNECTICUT,
COOLIDGE HOUSE,307 HUNTINGTON AVENUE,BOSTON,MASSACHUSETTS,2115,MASSACHUSETTS,
COOPER STREET CORRECTIONAL FACILITY,3100 COOPER STREET,JACKSON,MICHIGAN,49201,MICHIGAN,
CORDOVA CENTER,130 CORDOVA STREET,ANCHORAGE,ALASKA,99501,ALASKA,
CORRECTIONAL ALTERNATIVE PLACEMENT PROGRAM,15505 S PLEASANT VALLEY ROAD,KUNA,IDAHO,83634,IDAHO,
"CORRECTIONAL ALTERNATIVE PLACEMENT SERVICES, INC",445 RANNEY STREET,CRAIG,COLORADO,81625,COLORADO,
"Correctional Alternatives, Inc",2727 Boston Avenue,San Diego,CALIFORNIA,92113,CALIFORNIA,
CORRECTIONAL INDUSTRIAL FACILITY,5124 W REFORMATORY RD,PENDLETON,INDIANA,46064,INDIANA,
CORRECTIONAL RECEPTION CENTER,11271 STATE ROUTE 762,ORIENT,OHIO,43146,OHIO,
CORRECTIONAL RELEASE CENTER,"307 South 60th Avenue, W.",Newton,IOWA,50208,IOWA,
CORRECTIONAL TRAINING FACILITY,HIGHWAY 101 NORTH,SOLEDAD,CALIFORNIA,93960,CALIFORNIA,
CORRECTIONS TRANSITIONAL WORK UNIT,281 NORTH STATE STREET,CONCORD,NEW HAMPSHIRE,3301,NEW HAMPSHIRE,
CORRIGAN-RADGOWSKI CORRECTIONAL CENTER,986 NORWICH-NEW LONDON TPKE,UNCASVILLE,CONNECTICUT,6382,CONNECTICUT,
COTULLA TRANSFER FACILITY,610 FM 624,Cotulla,TEXAS,78014,TEXAS,
COUNCIL BLUFFS RESIDENTIAL FACILITY,900 NINTH AVENUE,COUNCIL BLUFFS,IOWA,51501,IOWA,
COUNCIL BLUFFS WOMEN'S RESIDENTIAL FACILITY,1102 9TH STREET,COUNCIL BLUFFS,IOWA,51501,IOWA,
COUNTY REHABILITATION CENTER,12133 CR 46,Tyler,TEXAS,75704,TEXAS,
COWETA COUNTY PRISON,101 SELT ROAD,NEWNAN,GEORGIA,30263,GEORGIA,
COXSACKIE CORRECTIONAL  FACILITY,11260 ROUTE 9W,COXSACKIE,NEW YORK,12051,NEW YORK,
