Name,Street,City,State,ZIP,ACTState,
APPLING  Integrated- Treatment Center,252 WEST PARK DRIVE,BAXLEY,GEORGIA,31513,GEORGIA,
ARAPAHOE COMMUNITY TREATMENT CENTER,3265 WEST GIRARD AVENUE,ENGLEWOOD,COLORADO,80110,COLORADO,
ARAPAHOE COUNTY RESIDENTIAL CENTER,2135 WEST CHENANGO AVENUE,LITTLETON,COLORADO,80120,COLORADO,
ARC FOND DU LAC,"27 E. 3RD ST., #208",FOND DU LAC,WISCONSIN,54935,WISCONSIN,
ARC HOUSE,202 N. PATERSON STREET,MADISON,WISCONSIN,53703,WISCONSIN,
ARC HOUSE/DAYTON FACILITY,2009 E DAYTON STREET,MADISON,WISCONSIN,53704,WISCONSIN,
ARC MATERNAL & INFANT PROGRAM,4202 MONONA DR,MADISON,WISCONSIN,53716,WISCONSIN,
ARCADIA ROAD PRISON,2961 NW COUNTY ROAD #661,ARCADIA,FLORIDA,34266,FLORIDA,
ARDMORE COMMUNITY WORK CENTER,316 GRUMMAN,ARDMORE,OKLAHOMA,73401,OKLAHOMA,
ARKANSAS VALLEY CORRECTIONAL FACILITY,12750 HIGHWAY 96,CROWLEY,COLORADO,81034,COLORADO,
ARRENDALE PROBATION SUBSTANCE ABUSE CENTER,2023 GAINESVILLE HIGHWAY SOUTH,ALTO,GEORGIA,30510,GEORGIA,
ARROWHEAD CORRECTIONAL CENTER,E US HIGHWAY 50 & EVANS BOULEVARD,CANON CITY,COLORADO,81212,COLORADO,
ASHLAND - CAMP,ST. ROUTE 716,ASHLAND,KENTUCKY,41105,KENTUCKY,
ASHLAND FCI,ST. ROUTE 716,ASHLAND,KENTUCKY,41105,KENTUCKY,
ASP - CENTRAL ARIZONA CORRECTIONAL FACILITY,1401 E. DIVERSION DAM RD,FLORENCE,ARIZONA,85132,ARIZONA,
ASP-FLORENCE WEST,915 EAST DIVERSION DAM ROAD,FLORENCE,ARIZONA,85132,ARIZONA,
ASP-KINGMAN CERBAT UNIT,4626 W. ENGLISH DRIVE,GOLDEN VALLEY,ARIZONA,86414,ARIZONA,
ASP-KINGMAN HUALAPAI UNIT,4626 W. ENGLISH DRIVE,GOLDEN VALLEY,ARIZONA,86414,ARIZONA,
ASP-PHOENIX WEST,3402 WEST COCOPAH,PHOENIX,ARIZONA,85009,ARIZONA,
ASPC - LEWIS,26700 SOUTH HIGHWAY 85,BUCKEYE,ARIZONA,85326,ARIZONA,
ASPC - PERRYVILLE,2014 N. CITRUS ROAD,GOODYEAR,ARIZONA,85395,ARIZONA,
ASPC-DOUGLAS,6911 NORTH BDI BOULEVARD,DOUGLAS,ARIZONA,85607,ARIZONA,
ASPC-DOUGLAS PAPAGO UNIT,25 EAST 16TH STREET,DOUGLAS,ARIZONA,85607,ARIZONA,
ASPC-EYMAN,4374 EAST BUTTE AVENUE,FLORENCE,ARIZONA,85132,ARIZONA,
ASPC-FLORENCE,1305 EAST BUTTE AVENUE,FLORENCE,ARIZONA,85132,ARIZONA,
ASPC-FLORENCE GLOBE,1000 FAIRGROUNDS ROAD,GLOBE,ARIZONA,85501,ARIZONA,
ASPC-FLORENCE PICACHO UNIT,25230 PICACHO BLVD,PICACHO,ARIZONA,85241,ARIZONA,
ASPC-PHOENIX,2500 E. VAN BUREN STREET,PHOENIX,ARIZONA,85008,ARIZONA,
ASPC-SAFFORD,896 SOUTH COOK ROAD,SAFFORD,ARIZONA,85546,ARIZONA,
